date,source,package,daily_downloads,weekly_downloads
2025-12-16,npm,@microsoft/winappcli,4,12
2025-12-17,npm,@microsoft/winappcli,67,75
2025-12-18,npm,@microsoft/winappcli,17,92
2025-12-19,npm,@microsoft/winappcli,6,97
2025-12-20,npm,@microsoft/winappcli,4,99
2025-12-21,npm,@microsoft/winappcli,0,99
2025-12-22,npm,@microsoft/winappcli,2,100
2025-12-23,npm,@microsoft/winappcli,11,107
2025-12-24,npm,@microsoft/winappcli,64,104
2025-12-25,npm,@microsoft/winappcli,1,88
2025-12-26,npm,@microsoft/winappcli,0,82
2025-12-27,npm,@microsoft/winappcli,2,80
2025-12-28,npm,@microsoft/winappcli,1,81
2025-12-29,npm,@microsoft/winappcli,0,79
2025-12-30,npm,@microsoft/winappcli,1,69
2025-12-31,npm,@microsoft/winappcli,2,7
2026-01-01,npm,@microsoft/winappcli,0,6
2026-01-02,npm,@microsoft/winappcli,0,6
2026-01-03,npm,@microsoft/winappcli,0,4
2026-01-04,npm,@microsoft/winappcli,2,5
2026-01-05,npm,@microsoft/winappcli,2,7
2026-01-06,npm,@microsoft/winappcli,18,24
2026-01-07,npm,@microsoft/winappcli,0,22
2026-01-08,npm,@microsoft/winappcli,23,45
2026-01-09,npm,@microsoft/winappcli,13,58
2026-01-10,npm,@microsoft/winappcli,1,59
2026-01-11,npm,@microsoft/winappcli,0,57
2026-01-12,npm,@microsoft/winappcli,32,87
2026-01-13,npm,@microsoft/winappcli,2,71
2026-01-14,npm,@microsoft/winappcli,7,78
2026-01-15,npm,@microsoft/winappcli,2,57
2026-01-16,npm,@microsoft/winappcli,3,47
2026-01-17,npm,@microsoft/winappcli,2,48
2026-01-18,npm,@microsoft/winappcli,0,48
2026-01-19,npm,@microsoft/winappcli,2,18
2026-01-20,npm,@microsoft/winappcli,2,18
2026-01-21,npm,@microsoft/winappcli,89,100
2026-01-22,npm,@microsoft/winappcli,95,193
2026-01-23,npm,@microsoft/winappcli,39,229
2026-01-24,npm,@microsoft/winappcli,84,311
2026-01-25,npm,@microsoft/winappcli,25,336
2026-01-26,npm,@microsoft/winappcli,33,367
2026-01-27,npm,@microsoft/winappcli,46,411
2026-01-28,npm,@microsoft/winappcli,6,328
2026-01-29,npm,@microsoft/winappcli,0,328
